$HAVE_CRYPTO,$HAVE_HASH,$HAVE_REPLICATION,$HAVE_VERIFY,$HAVE_SEQUENCE,$HAVE_STATISTICS,$DIAGNOSTIC,$PAGESIZE,$PS1K,$PS4K,$PS8K,$PS16K,$PS32K,$CACHESIZE,$CS32MB,$CS16MB,$CS64MB,$CS512MB,$<Performance
0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0.5172
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.6174
1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,37.8377
1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,6.5145
1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,20.0278
1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,21.2725
0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0.5260
1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,21.2317
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0.7485
0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1.2499
0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0.3908
1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,5.8605
1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,10.9380
1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,19.9208
0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0.6361
0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0.9129
0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0.9181
1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,6.5171
0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0.5738
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,10.7016
0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0.7822
1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,37.7909
0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0.9588
0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0.9500
1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,5.8586
1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,6.5345
0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0.4982
0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0.5759
1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,19.9808
1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,19.9643
1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,37.8210
0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0.5809
1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,6.5140
1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,6.5384
1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2.0882
1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,6.5260
1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,6.5121
0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.7524
0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0.3620
0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,2.1693
0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,2.1573
1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,5.8451
0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0.7546
1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,3.2932
1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6.5006
0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.7494
1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,3.2008
0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.5030
0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0.6333
1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,20.0257
1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2.0851
0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0.7476
1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,10.9227
0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0.3826
1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,10.9242
1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,3.2267
1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,21.2639
0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1.2529
1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6.5306
0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1.2467
1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,39.0284
0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0.5024
0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0.5065
1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,2.0194
0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1.2708
1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2.0435
1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,2.0367
0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0.6332
1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,3.2853
1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,5.8511
1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,38.9400
0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0.5741
0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0.7476
1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,37.7489
1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,37.7537
0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1.2669
0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0.6431
0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0.9292
0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0.6161
0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.6428
0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0.5169
1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,10.7131
1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10.9006
0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0.5273
0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1.2642
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,20.0033
1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,10.9456
0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0.3898
0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.7347
0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0.6444
0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0.9619
0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.9246
1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,10.9368
1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,37.7630
1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,38.8212
1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,19.9877
0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1.2644
1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,2.0396
1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,10.7003
1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,10.7313
0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0.7378
1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,20.0103
1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,5.8689
0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0.6460
0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0.3564
1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,38.9308
1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,38.9881
1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,19.9742
0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0.5199
1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,5.8308
1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,3.2294
0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0.5144
0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0.7528
1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,6.5251
0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.4330
0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0.5125
0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0.3883
0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0.6389
1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,6.5151
1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,2.0770
1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,5.8719
1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,2.0455
0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0.5841
1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,5.8422
0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.7514
0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,2.1552
0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.5209
0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2.1384
1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,3.2412
1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,10.7358
1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,19.9786
0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.4997
1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,5.8455
0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,2.1343
0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0.3919
1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,10.9093
1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,10.9281
1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,37.7288
0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0.9492
0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.7726
0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0.5416
0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0.3835
1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,5.8223
1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,37.6709
1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,5.8491
1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,37.6257
0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0.9254
1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,21.2520
1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,2.0293
0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0.3898
1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,19.9270
0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0.5002
1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,10.7185
0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0.6403
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0.5121
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0.5683
0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0.7479
0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.7511
0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0.4679
1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,3.2070
0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,2.1454
1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,21.2652
1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2.0361
1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,37.6032
1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,2.0881
0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0.9184
0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0.6275
0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0.3629
0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0.5210
1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10.7588
1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,39.0166
0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0.6450
1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,19.9360
1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,10.9174
0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.7596
0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,2.1559
1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,5.8705
0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0.9280
1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.9093
1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,21.2474
1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,19.9468
0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1.2665
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.6127
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0.5823
1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,2.0606
0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.9544
0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0.3908
1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,38.8632
1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,19.9721
1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,5.8419
1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,19.9297
1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,21.2740
1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,3.2605
1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,21.2147
1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,38.8258
1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,3.2125
