$Culture,$Criticality,$CriticalityModifier,$InitialKnown,$InterDependency,$Dynamism,$Size,$Plan,$TeamSize,-cost
0.63,0.84,5.56,0.48,16.61,26.85,1.95,2.81,33.49,400.99234319482815
0.81,1.01,4.5,0.54,81.1,43.88,3.25,0.94,43.98,891.1580551980156
0.61,0.85,7.8,0.7,40.78,34.25,1.26,1.07,31.84,517.1921303997294
0.1,1.13,6.23,0.43,12.77,32.81,3.49,1.4,43.08,1453.4187917151462
0.18,1.14,5.17,0.42,28.2,23.2,3.17,4.31,6.74,1028.2818994394406
0.52,1.07,4.78,0.66,28.56,1.91,0.16,3.4,25.01,278.3026604331662
0.86,1.18,9.28,0.41,75.16,35.36,2.62,3.56,39.82,2144.9900941962337
0.61,0.96,6.3,0.46,59.13,1.44,0.6,1.67,34.95,458.1945045254067
0.67,0.95,6.96,0.41,17.22,49.11,1.16,1.97,24.58,586.9624357255594
0.33,1.0,3.92,0.41,18.78,26.63,0.28,2.02,15.13,182.43734997599998
0.43,0.86,9.27,0.54,84.24,48.84,1.37,2.4,31.08,825.8200424730265
0.44,0.93,7.88,0.67,92.05,31.71,1.5,4.87,28.47,554.706047259748
0.15,0.85,8.0,0.42,1.78,20.3,2.08,2.24,22.01,631.6046461993564
0.57,1.08,5.38,0.51,98.86,13.78,3.11,2.16,16.42,932.4101681847418
0.15,1.15,7.62,0.67,45.71,34.17,0.48,1.99,9.91,424.6665267075385
0.13,1.18,3.73,0.44,20.6,19.52,2.19,0.76,43.51,686.827362891035
0.89,0.88,5.25,0.6,87.89,25.27,3.67,1.61,22.43,725.2285007845304
0.5,1.07,3.62,0.58,22.66,17.67,3.85,4.5,36.18,708.4127218123938
0.13,0.88,4.06,0.64,84.39,29.56,2.87,4.04,3.85,430.7278654661099
0.17,1.15,2.32,0.47,5.02,1.75,3.38,1.65,7.91,355.41055451634037
0.22,1.07,9.75,0.55,90.21,25.62,2.3,3.39,35.62,1957.9475668532377
0.71,1.2,7.98,0.67,21.4,27.24,2.39,4.13,21.74,1656.3332740333774
0.73,0.97,6.69,0.66,80.01,33.19,0.0,0.91,22.79,423.8898367083591
0.3,0.84,8.88,0.68,30.98,21.0,3.24,0.31,28.56,1136.2641500656173
0.2,0.93,8.64,0.42,4.56,21.48,1.97,4.32,31.84,911.9926398549467
0.64,0.88,9.89,0.52,61.57,19.95,0.19,2.35,7.51,490.6135887374627
0.13,1.05,7.04,0.43,55.37,17.99,1.53,3.88,22.08,888.5939472676883
0.81,1.05,5.74,0.59,34.45,7.09,2.73,3.11,34.91,800.1937126474479
0.2,1.17,8.39,0.68,87.38,34.37,3.24,2.6,34.78,2050.5620415624767
0.25,1.12,5.56,0.63,46.09,39.69,0.3,0.22,41.17,472.7059275064145
0.49,1.16,9.56,0.6,57.61,11.58,0.37,4.1,39.22,1255.0413765026237
0.72,1.09,5.36,0.49,12.23,21.87,2.26,4.61,41.24,879.6051876683038
0.43,0.86,8.19,0.62,4.04,22.89,2.75,0.15,40.53,1035.0254138873343
0.87,1.09,2.63,0.42,36.57,2.44,1.39,0.05,42.9,290.5200721728233
0.76,0.85,9.15,0.46,21.27,34.01,3.75,0.62,1.31,820.36505937271
0.4,0.83,6.84,0.66,19.51,6.51,1.38,4.8,6.6,405.9428206305293
0.87,0.96,5.79,0.49,93.78,47.95,2.54,0.92,43.7,861.1598247449673
0.18,1.04,3.25,0.67,94.62,40.42,1.26,1.21,33.46,256.83486009180984
0.33,0.98,2.37,0.44,3.03,4.82,0.29,2.1,24.68,129.71727624805865
0.69,0.87,5.38,0.59,9.37,22.8,1.48,4.74,3.49,365.36365186806285
0.43,0.98,7.83,0.5,21.2,15.37,1.88,4.75,35.25,807.2249047871362
0.32,1.03,7.51,0.64,45.17,20.54,3.07,2.16,11.66,1284.1793818735653
0.46,1.18,3.14,0.54,64.09,24.68,0.81,0.01,31.06,265.65842484414753
0.59,0.82,4.39,0.63,63.26,27.72,0.62,3.53,21.27,164.70245716015592
0.64,1.11,3.86,0.63,28.73,49.22,0.48,4.42,2.74,246.16587907937705
0.31,1.02,6.65,0.52,11.1,13.38,1.13,3.78,40.08,929.2279611344933
0.58,0.83,8.34,0.49,34.65,26.98,1.0,4.6,8.03,396.01410036152197
0.43,0.93,6.16,0.57,63.09,27.04,1.64,3.17,18.35,504.84377693410937
0.72,1.12,4.34,0.51,63.25,8.7,2.79,1.91,26.42,630.2155344328906
0.21,1.07,4.83,0.54,42.1,24.36,2.78,1.59,29.04,825.1561590101919
0.15,0.93,7.96,0.42,62.49,2.25,1.89,4.44,1.43,466.61712044440316
0.52,0.85,8.94,0.61,74.45,33.78,0.03,0.21,27.7,286.5830151181131
0.9,1.15,7.6,0.62,23.44,37.83,1.15,0.53,20.82,787.5733322265835
0.36,0.88,5.37,0.67,44.09,22.92,2.84,2.62,6.56,503.06026629601905
0.83,0.99,8.31,0.52,80.88,20.09,0.88,0.98,41.42,526.5941985452117
0.57,0.84,5.11,0.47,9.38,10.15,0.23,3.19,8.46,148.60981040377655
0.59,1.05,7.64,0.55,29.16,44.0,1.41,2.29,28.17,774.8410200867155
0.51,1.18,9.64,0.68,93.47,29.47,1.96,3.52,10.26,1265.9975169376805
0.31,0.84,3.3,0.4,65.81,7.88,3.15,3.4,42.74,528.4467044971244
0.42,1.17,5.63,0.5,11.13,44.26,3.18,1.61,20.6,1139.0655780733646
0.36,0.83,2.35,0.51,21.75,26.7,0.75,1.01,29.92,143.51567094058603
0.69,0.94,8.88,0.48,35.05,35.91,0.18,4.67,4.11,279.1495325235996
0.47,1.1,2.38,0.64,97.91,23.57,0.47,0.41,5.25,132.90551395314782
0.71,0.98,9.35,0.53,8.64,21.92,3.02,4.15,2.69,1024.9649024929054
0.24,1.01,3.02,0.66,93.51,16.66,1.74,2.79,13.28,233.0692633155762
0.53,0.9,4.37,0.53,60.86,27.27,1.04,1.16,6.11,319.5953048938637
0.73,0.86,7.86,0.47,29.17,37.07,2.64,3.71,23.16,730.2488808971739
0.79,0.87,7.16,0.44,73.99,18.59,2.7,3.52,29.41,703.5850582667699
0.28,1.14,3.92,0.56,67.79,12.45,2.51,1.43,8.37,506.5554252127684
0.75,1.03,4.62,0.58,3.5,7.36,1.58,4.88,22.95,479.72763168648606
0.16,1.11,8.25,0.63,57.38,35.09,0.85,3.66,36.1,182.9101642051737
0.71,0.95,6.73,0.59,90.18,6.29,3.34,2.63,16.42,954.8781820654718
0.46,0.82,3.76,0.6,66.42,25.24,3.81,2.4,14.5,504.4604809263719
0.78,0.92,6.83,0.61,82.35,39.48,1.54,0.3,2.65,423.45222373723607
0.68,1.19,4.75,0.53,72.85,33.23,1.04,3.36,14.11,551.1322276728409
0.39,1.03,7.86,0.45,3.18,31.76,0.1,0.22,10.71,439.04155742307154
0.62,0.85,2.5,0.69,42.84,44.73,0.87,2.18,16.4,155.9949684636705
0.24,0.94,9.89,0.62,38.88,21.05,1.05,2.66,32.63,783.0684159082635
